@relation land_ort_train_table


@attribute location_found {false, true}
@attribute location_class numeric
@attribute location_klasse numeric
@attribute valueOfAllOtherClasses numeric
@attribute class {LAND/ORT, NACHRICHTEN/INFORMATION}


@data

false,1.417,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0.0,NACHRICHTEN/INFORMATION
true,0,0,0.0,LAND/ORT
false,0,0,0.222,NACHRICHTEN/INFORMATION
false,2.9851,0,0.0,NACHRICHTEN/INFORMATION
true,1.7572,0.071,0.0,NACHRICHTEN/INFORMATION
true,1.7572,0.143,0.0,LAND/ORT
false,0,0,0.0,LAND/ORT
false,0,0,0.0,NACHRICHTEN/INFORMATION
false,3.5145,0,0.0,NACHRICHTEN/INFORMATION
false,1.7572,0,0.0,LAND/ORT
true,1.7572,0,0.0,LAND/ORT
false,1.3237,0,0.0,NACHRICHTEN/INFORMATION
true,0,0,0.0,LAND/ORT
false,0.9651,0,0.0,NACHRICHTEN/INFORMATION
false,1.2779,0,1.09,NACHRICHTEN/INFORMATION
false,0.9708,0,0.0,NACHRICHTEN/INFORMATION
false,1.566,0,0.0,NACHRICHTEN/INFORMATION
false,1.0392,0.143,0.0,LAND/ORT
true,1.757,0,0.0,LAND/ORT
true,1.7572,0.143,0.0,LAND/ORT
false,1.5363,0,0.0,NACHRICHTEN/INFORMATION
true,1.6177,0,0.0,LAND/ORT
false,3.2444,1.714,3.636,LAND/ORT
false,0,0,2.223,NACHRICHTEN/INFORMATION
true,1.7572,0.143,0.0,NACHRICHTEN/INFORMATION
true,1.757,0.286,0.849,LAND/ORT
true,1.757,0.286,0.0,LAND/ORT
true,0,0.429,0.0,LAND/ORT
true,0,0,0.91,LAND/ORT
true,1.757,0.143,0.0,LAND/ORT
true,0,0,0.0,LAND/ORT
false,2.0776,0,0.0,NACHRICHTEN/INFORMATION
false,2.2216,0,0.0,NACHRICHTEN/INFORMATION
true,1.7572,0.286,0.0,LAND/ORT
false,1.757,0,0.0,LAND/ORT
false,0,1.714,0.0,NACHRICHTEN/INFORMATION
false,1.1901,0,0.222,NACHRICHTEN/INFORMATION
false,1.1126,0,0.849,NACHRICHTEN/INFORMATION
false,1.7572,0,0.0,LAND/ORT
false,1.4762,0,0.0,NACHRICHTEN/INFORMATION
true,0,0,1.09,NACHRICHTEN/INFORMATION
false,1.4872,0,3.636,LAND/ORT
true,0,0.214,0.0,LAND/ORT
false,0,1.429,0.0,LAND/ORT
false,1.6467,0,0.0,NACHRICHTEN/INFORMATION
false,1.7572,0,0.0,LAND/ORT
false,1.417,0,0.286,NACHRICHTEN/INFORMATION
false,0,0,1.676,NACHRICHTEN/INFORMATION
false,1.1901,0,0.0,NACHRICHTEN/INFORMATION
false,1.7572,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0.0,LAND/ORT
false,0,0,0.0,LAND/ORT
false,1.279,0.143,0.0,LAND/ORT
true,0,0.143,0.0,LAND/ORT
true,0,0,0.0,LAND/ORT
false,0,0,0.143,NACHRICHTEN/INFORMATION
true,1.7572,0.143,0.0,LAND/ORT
true,1.757,0,0.0,LAND/ORT
true,0,0,0.0,LAND/ORT
false,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.109,0,0.0,NACHRICHTEN/INFORMATION
false,1.2779,0,0.0,NACHRICHTEN/INFORMATION
true,0,0.143,0.0,LAND/ORT
false,1.1901,0,0.0,NACHRICHTEN/INFORMATION
true,1.7572,0.143,0.0,LAND/ORT
true,0,0.143,0.475,LAND/ORT
false,1.7572,0,0.0,NACHRICHTEN/INFORMATION
true,0,0,0.0,LAND/ORT
false,1.7572,0,0.0,LAND/ORT
