@relation musik_ressourcen_train_table


@attribute music_class numeric
@attribute news_class numeric
@attribute music_klasse numeric
@attribute news_klasse numeric
@attribute class {MUSIK/RESSOURCEN,NACHRICHTEN/INFORMATION}


@data

0,0,0,0,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.4992,1.5728,0,0,MUSIK/RESSOURCEN
1.1351,1.0973,0,0,NACHRICHTEN/INFORMATION
1.4992,1.5728,0,0,MUSIK/RESSOURCEN
0,0,0,0,NACHRICHTEN/INFORMATION
2.793,2.4609,0,0,MUSIK/RESSOURCEN
1.2523,1.1738,0,0,MUSIK/RESSOURCEN
1.2388,1.1312,0,0,NACHRICHTEN/INFORMATION
0,0,0,0,MUSIK/RESSOURCEN
1.4016,1.5189,0,0,NACHRICHTEN/INFORMATION
1.535,1.647,0,0.333,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.3051,1.5531,0,0,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.74,1.464,0.667,0,MUSIK/RESSOURCEN
1.2792,1.5158,0.667,0,MUSIK/RESSOURCEN
1.3584,1.1512,0.111,0,MUSIK/RESSOURCEN
1.2388,1.1312,0,0.889,NACHRICHTEN/INFORMATION
1.1171,0.9936,0,0,NACHRICHTEN/INFORMATION
1.1839,1.1839,0,0,MUSIK/RESSOURCEN
1.4052,2.017,0,0.444,NACHRICHTEN/INFORMATION
2.5042,2.4939,0,0,MUSIK/RESSOURCEN
1.4801,1.2772,0,0,MUSIK/RESSOURCEN
1.4496,1.1961,0,0,MUSIK/RESSOURCEN
1.2388,1.1312,0,0,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
2.7715,2.6814,0,0,NACHRICHTEN/INFORMATION
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.567,1.399,0.111,0,MUSIK/RESSOURCEN
1.7071,1.3252,0.111,0,MUSIK/RESSOURCEN
1.1287,1.1375,0,0,MUSIK/RESSOURCEN
1.8685,1.717,0,0,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,MUSIK/RESSOURCEN
1.1328,1.2197,0,0,NACHRICHTEN/INFORMATION
0,0,0.333,0,MUSIK/RESSOURCEN
2.4626,2.2292,0,0,MUSIK/RESSOURCEN
1.1328,1.2197,0.667,0,MUSIK/RESSOURCEN
2.9985,3.1457,0,0,NACHRICHTEN/INFORMATION
2.9793,2.85,0,0,NACHRICHTEN/INFORMATION
0,0,0,0,MUSIK/RESSOURCEN
0,0,0,0,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,MUSIK/RESSOURCEN
3.2392,3.0368,0.667,0,MUSIK/RESSOURCEN
1.3703,1.1892,0,0,NACHRICHTEN/INFORMATION
2.4875,2.5926,0,0,MUSIK/RESSOURCEN
2.5711,2.2872,0,0,NACHRICHTEN/INFORMATION
1.4496,1.1961,0,0,MUSIK/RESSOURCEN
2.7715,2.6814,0,0,NACHRICHTEN/INFORMATION
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
2.9831,2.7736,0.667,0,MUSIK/RESSOURCEN
0,0,0,0,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
0,0,0,0,NACHRICHTEN/INFORMATION
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
1.4992,1.5728,0,0,MUSIK/RESSOURCEN
1.4992,1.5728,0,0,NACHRICHTEN/INFORMATION
