@relation musik_ressourcen_train_table


@attribute location_found {false, true}
@attribute similarity_to_music_en numeric
@attribute similarity_to_music_de numeric
@attribute similarity_to_location_de numeric
@attribute similarity_to_family_de numeric
@attribute valueOfAllOtherClasses numeric
@attribute class {MUSIK_RESSOURCEN,NO_MR}


@data

false,1.4426,0,0,0,0.0,NO_MR
false,1.2661,0,0.143,0,0.143,NO_MR
false,1.2899,0.667,0,0,0.182,MUSIK_RESSOURCEN
false,0,0.111,0,0,0.0,NO_MR
false,0.8909,0,0,0,0.0,MUSIK_RESSOURCEN
false,1.5475,0,0,0,0.0,NO_MR
true,1.1762,0,0,0,0.0,NO_MR
false,0,0.667,0,0,0.0,MUSIK_RESSOURCEN
false,1.3604,0,0,0,0.0,NO_MR
false,1.2077,0,0,0,0.0,NO_MR
false,1.4458,0,0,0,0.0,MUSIK_RESSOURCEN
false,1.0961,0.222,0,0,0.182,MUSIK_RESSOURCEN
false,1.1762,0,0,0,0.0,NO_MR
false,0,0,0,0,0.0,MUSIK_RESSOURCEN
false,0,0.667,0,0,0.0,MUSIK_RESSOURCEN
false,0,0,0.429,0,0.429,NO_MR
false,1.4475,0,0,0,0.0,NO_MR
false,1.5218,0,0,0,0.0,NO_MR
true,1.5218,0,0.286,0,0.286,NO_MR
false,1.0961,0,0,0,0.0,MUSIK_RESSOURCEN
false,0,0.444,0,0,0.0,MUSIK_RESSOURCEN
false,1.5218,0,0,0,0.364,NO_MR
false,1.351,0,0,0,0.0,MUSIK_RESSOURCEN
false,1.5218,0,1.714,0,1.714,NO_MR
false,1.6164,0,0,0,0.0,NO_MR
true,1.5218,0,0,0,0.0,NO_MR
true,1.5218,0,0,0,0.0,NO_MR
false,1.1726,0,0,0.083,0.507,MUSIK_RESSOURCEN
false,0,0,0,0,0.0,NO_MR
false,1.0961,0,0,0,0.0,NO_MR
true,0,0,0,0,0.0,MUSIK_RESSOURCEN
false,1.3156,0,0,0,0.0,NO_MR
false,2.8884,0.111,0,0,0.0,MUSIK_RESSOURCEN
false,1.0961,0,0,0,0.0,MUSIK_RESSOURCEN
false,0,0.667,0,0,0.0,MUSIK_RESSOURCEN
false,1.5069,0,0,0,0.0,MUSIK_RESSOURCEN
false,0,0.667,0,0,0.0,MUSIK_RESSOURCEN
false,2.476,0,0,0,0.0,NO_MR
false,1.5218,0,0,0,0.0,MUSIK_RESSOURCEN
false,1.2637,0,0.143,0,0.143,NO_MR
false,1.1726,0.667,0,0,0.0,MUSIK_RESSOURCEN
false,0,0.222,0,0,0.0,MUSIK_RESSOURCEN
false,0.9542,0,0,0,0.0,NO_MR
false,0,0,2.071,0,2.071,NO_MR
false,1.351,0,0,0,0.0,MUSIK_RESSOURCEN
false,1.1762,0,0,0,0.0,NO_MR
false,0,0,0,0,0.0,NO_MR
false,2.6607,0,0,0.083,0.083,NO_MR
false,2.5815,0,0.357,0,0.357,NO_MR
true,1.5218,0,0,0,0.0,NO_MR
false,2.3974,0,0,0,0.0,MUSIK_RESSOURCEN
true,0,0,0,0,0.0,NO_MR
false,1.5218,0,0.357,0,0.357,NO_MR
false,1.1726,0,0,0,0.0,MUSIK_RESSOURCEN
false,0,0.222,0,0,0.0,MUSIK_RESSOURCEN
false,0,0.667,0,0,0.0,MUSIK_RESSOURCEN
false,1.4458,0,0,0,0.0,MUSIK_RESSOURCEN
false,2.755,0,0.071,0,0.071,MUSIK_RESSOURCEN
false,0,0.889,0,0,0.545,MUSIK_RESSOURCEN
false,1.5218,0,0,0,0.0,NO_MR
false,2.5445,0,0,0,0.0,MUSIK_RESSOURCEN
false,1.1762,0,0,0,0.0,NO_MR
false,2.6551,0,0,0,0.143,MUSIK_RESSOURCEN
false,0,0,0,0,0.0,NO_MR
true,1.5218,0,0.143,0,0.143,NO_MR
false,0,0.222,0,0,0.0,MUSIK_RESSOURCEN
false,1.5218,0,0,0,0.0,NO_MR
