@relation land_ort_train_table


@attribute location_found {false, true}
@attribute tokens {2, 1}
@attribute loc_lev numeric
@attribute eins {NE, ADV, NN, XY, ADJA, CARD, ADJD, FM, PIAT, APPR}
@attribute zwei {NE, NN, CARD}
@attribute one {NNP, JJ, NN, VBG, NNS, NNPS, VB, PRP, FW, UH, CC, MD, CD, RB, VBN, DT, IN}
@attribute two {NNP, CC, NN, NNPS, MD, VBG, RB, CD, NNS, VBN, FW, VB, IN, JJ}
@attribute count_one numeric
@attribute count_two numeric
@attribute has_adj {0, 1}
@attribute navi numeric
@attribute lang {en, de}
@attribute music_class numeric
@attribute body_class numeric
@attribute news_class numeric
@attribute location_class numeric
@attribute family_class numeric
@attribute career_class numeric
@attribute entity_class numeric
@attribute navigational_class {0, 1}
@attribute music_klasse numeric
@attribute body_klasse {0, 0.143, 0.286, 0.429}
@attribute news_klasse numeric
@attribute location_klasse numeric
@attribute family_klasse numeric
@attribute career_klasse numeric
@attribute class {NACHRICHTEN/INFORMATION, LAND/ORT}


@data

true,2,0,NE,NE,NNP,NNP,27,18,0,0,de,1.4992,1.5218,1.5728,1.7572,1.1565,1.4042,1.6519,0,0,0,0,0.286,0,0,LAND/ORT
true,1,0,NN,?,NN,?,0,15,0,0,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAND/ORT
false,2,-1,ADJA,NN,NN,NN,0,0,1,0,de,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,LAND/ORT
false,1,-1,NN,?,VB,?,7,0,0,0,en,1.3313,1.2637,1.2126,1.2789,1.7242,1.2571,1.6336,0,0,0,0,0,0,0.727,NACHRICHTEN/INFORMATION
false,1,3,NN,?,JJ,?,40,0,1,0,en,1.5981,1.1471,1.3068,1.2274,1.0349,1.4054,1.2951,0,0,0,0.222,0.357,0,0,LAND/ORT
false,2,4,NE,NN,NNP,NNP,1,0,0,0,de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2,-1,NE,NN,NNP,NNP,1,20,0,18,de,1.5175,1.351,1.717,1.4762,1.0399,1.3565,1.6017,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1,12,NN,?,NNP,?,45,0,0,0,en,1.4992,1.5218,1.5728,1.7572,1.1565,1.4042,1.6519,0,0,0,0,0.143,0,0,LAND/ORT
false,1,-1,NE,?,NN,?,1,0,0,2,en,1.2676,1.4053,1.1391,1.0343,1.1669,1.4633,1.1994,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1,-1,ADJD,?,?,?,1,0,1,0,de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAND/ORT
false,2,-1,NE,NN,RB,NN,0,17,0,0,de,1.48,1.264,1.277,1.279,1.148,1.158,1.287,0,0,0,0,0.143,0,0,LAND/ORT
false,2,-1,NE,NN,NNP,IN,0,11,0,104,en,1.4992,1.5218,1.5728,1.7572,1.1565,1.4042,1.6519,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2,-1,NN,NE,NN,NN,0,27,0,0,de,1.499,1.522,1.573,1.757,1.157,1.404,1.652,0,0,0,0,1.714,0,0,LAND/ORT
false,2,12,NE,NN,NNP,NN,0,0,0,0,de,1.499,1.522,1.573,1.757,1.157,1.404,1.652,0,0,0,0,0.143,0,0,LAND/ORT
false,1,5,NE,?,NNP,?,500,0,0,0,de,1.4992,1.5218,1.5728,1.7572,1.1565,1.4042,1.6519,0,0,0,0,0,0,0,LAND/ORT
false,1,6,NE,?,NN,?,0,2,0,0,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAND/ORT
true,1,0,NE,?,NNP,?,1,0,0,0,en,1.4992,1.5218,1.5728,1.7572,1.1565,1.4042,1.6519,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1,0,NE,?,NN,?,0,0,0,0,de,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,LAND/ORT
false,1,-1,NN,?,NN,?,0,0,0,0,de,1.1351,1.2661,1.0973,1.0392,0.9979,1.3105,1.1794,0,0,0,0,0.143,0,0,LAND/ORT
true,1,0,NN,?,NN,?,4,13,0,0,de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAND/ORT
false,1,1,NE,?,NNP,?,10,0,0,0,de,1.4114,1.1762,1.221,1.1901,1.0714,1.1636,1.1988,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1,0,NN,?,FW,?,3,0,0,0,en,1.4992,1.5218,1.5728,1.7572,1.1565,1.4042,1.6519,0,0,0,0,0.143,0,0,LAND/ORT
true,1,0,NE,?,NN,?,0,11,0,0,en,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,LAND/ORT
false,2,-1,NN,NE,NNP,NNP,4,17,0,1,en,1.4184,1.3593,1.2233,1.1901,1.21,1.386,1.2829,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1,0,NE,?,NN,?,4,0,0,0,de,1.499,1.522,1.573,1.757,1.157,1.404,1.652,0,0,0,0,0,0,0,LAND/ORT
false,2,2,ADJA,NN,NNP,NNP,26,82,1,0,de,1.4992,1.5218,1.5728,1.7572,1.1565,1.4042,1.6519,0,0,0,0,0,0.583,0.455,NACHRICHTEN/INFORMATION
false,1,2,NE,?,VB,?,15,0,0,4,en,1.4992,1.5938,1.5728,1.7572,1.3478,1.6009,1.6519,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2,-1,NN,NN,JJ,NN,0,0,1,0,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAND/ORT
false,2,7,NN,NE,NNP,NNP,0,5,0,0,de,1.4992,1.5218,1.5728,1.7572,1.1565,1.4042,1.6519,0,0,0,0,0.357,0,0,LAND/ORT
false,2,4,NE,NE,NNP,NNP,737,16,0,0,de,1.1544,1.0961,1.0561,1.109,1.4586,1.0802,1.347,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2,2,NE,NN,NNP,NNP,58,0,0,0,de,1.2834,1.5723,1.2277,1.2919,1.2116,1.4904,1.3554,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2,0,NN,NE,NNP,NNPS,0,9,0,0,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAND/ORT
true,1,0,NE,?,NN,?,0,0,0,0,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAND/ORT
false,2,0,NE,NE,NNP,NN,287,7,0,0,en,2.9009,2.8728,3.0918,3.2334,2.1965,2.7607,3.2537,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2,-1,NE,NE,NNP,NN,0,39,0,0,en,1.4016,1.4409,1.5189,1.4762,1.0399,1.3565,1.8764,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2,4,NE,NN,NNP,NNP,11,5,0,0,de,1.4992,1.5218,1.5728,1.7572,1.1565,1.4042,1.6519,0,0,0,0,1.714,0,0,LAND/ORT
false,1,-1,NN,?,NN,?,518,0,0,0,de,1.1328,1.0943,1.2197,1.1918,0.8433,1.0989,1.2809,0,0.667,0,0,0.071,0,0,NACHRICHTEN/INFORMATION
false,1,-1,NE,?,NNP,?,15,0,0,0,en,1.4992,1.5218,1.5728,1.7572,1.1565,1.4042,1.6519,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2,-1,NE,NE,NNP,NNP,0,1,0,0,de,1.4992,1.5218,1.5728,1.7572,1.1565,1.4042,1.6519,0,0,0,0,1.714,0,0,NACHRICHTEN/INFORMATION
false,2,-1,NE,NN,NNP,NN,1,1,0,6,de,0.9855,0.8909,1.0985,0.9708,0.6803,0.8949,1.0398,0,0,0,0,1.357,0,0,NACHRICHTEN/INFORMATION
false,2,3,NE,NE,NNP,NNP,546,26,0,0,de,1.3313,1.2637,1.2126,1.2789,1.7242,1.2571,1.6336,0,0,0,0,0,0,1.818,NACHRICHTEN/INFORMATION
true,1,0,NE,?,NN,?,0,2,0,0,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAND/ORT
false,2,-1,NE,NE,NNS,NNP,60,12,0,119,en,1.4496,1.4458,1.1961,1.1901,1.1647,1.3009,1.2496,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1,0,NE,?,NN,?,0,0,0,0,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAND/ORT
true,2,0,NN,NE,NNP,NNP,0,77,0,0,de,1.4992,1.5218,1.5728,1.7572,1.1565,1.4042,1.6519,0,0,0,0,0.143,0,0,LAND/ORT
false,1,3,NN,?,NNP,?,8,0,0,0,en,0.8362,1.2832,0.5941,0,0.5811,1.5144,0.4307,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2,2,NE,NE,NNP,NNP,79,2,0,0,de,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,LAND/ORT
false,1,-1,NE,?,NN,?,1,0,0,0,de,1.4992,1.5218,1.5728,1.7572,1.1565,1.4042,1.6519,0,0,0,0,1.714,0,0,LAND/ORT
true,2,0,NN,NE,NNP,NNP,37,0,0,0,de,1.2145,1.1726,1.3096,1.2779,0.9045,1.1775,1.3765,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2,2,NN,NE,NNP,NNP,4,2,0,17,de,1.005,0.9539,0.921,0.9651,1.2552,0.9348,1.1473,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,2,0,NN,NE,NNP,NNP,0,1,0,0,de,1.4992,1.5218,1.5728,1.7572,1.1565,1.4042,1.6519,0,0,0,0,0.143,0,0,LAND/ORT
false,1,-1,NN,?,NN,?,0,0,0,0,de,0,0,0,0,0,0,0,0,0,0,0,0,0,1.818,NACHRICHTEN/INFORMATION
false,2,-1,NE,NN,NNP,NNPS,96,1,0,0,en,1.132,1.0218,1.2641,1.1126,0.7859,1.0261,1.1938,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1,-1,NN,?,?,?,0,0,0,0,de,0,0,0,0,0,0,0,0,0,0,0.444,0,0,0,NACHRICHTEN/INFORMATION
false,2,-1,NE,NE,NNP,NN,1,8,0,0,en,1.274,1.45,1.2451,1.1918,1.1305,1.4721,1.4562,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1,11,NN,?,NN,?,16,0,0,0,en,1.3176,1.56,1.3166,1.2779,1.1745,1.4992,1.5427,0,0,0,0,0,0,0.545,NACHRICHTEN/INFORMATION
false,2,5,NE,NN,NNP,NNP,307,0,0,0,de,1.0574,1.0218,1.202,1.2671,0.889,1.0261,1.1938,0,0,0,0,0,0,0,LAND/ORT
false,2,-1,NE,NE,NNP,VBG,0,1,0,0,de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,1,-1,NN,?,NN,?,18,0,0,0,en,1.1907,1.0943,1.2197,1.1918,0.8433,1.8427,1.2809,0,0,0,0,0,0,0,LAND/ORT
false,2,5,NE,NE,NNP,NNP,4,0,0,3,de,1.2388,1.1762,1.1312,1.1901,1.5809,1.1636,1.4735,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,2,0,NN,NE,NN,NN,0,0,0,1,de,0,0,0,0,0,0,0,0,0,0,0,0.214,0.083,0.182,LAND/ORT
true,2,0,NN,NE,NN,NN,0,0,0,0,de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAND/ORT
false,2,-1,NN,NN,NNP,NNP,0,0,0,0,de,0,0,0,0,0,0,0,0,0,0,0.667,0.143,0,0.091,LAND/ORT
