@relation musik_ressourcen_train_table


@attribute music_class numeric
@attribute music_klasse numeric
@attribute class {MUSIK/RESSOURCEN,NACHRICHTEN/INFORMATION}


@data

1.3051,0,MUSIK/RESSOURCEN
0,0,MUSIK/RESSOURCEN
2.736,0.667,MUSIK/RESSOURCEN
1.535,0,MUSIK/RESSOURCEN
0.9214,0,MUSIK/RESSOURCEN
0,0.667,MUSIK/RESSOURCEN
1.5505,0,MUSIK/RESSOURCEN
1.4992,0,NACHRICHTEN/INFORMATION
1.2388,0.556,MUSIK/RESSOURCEN
0,0,MUSIK/RESSOURCEN
0,0,NACHRICHTEN/INFORMATION
2.8296,0,MUSIK/RESSOURCEN
1.1907,0,NACHRICHTEN/INFORMATION
0,0,MUSIK/RESSOURCEN
0,0.444,MUSIK/RESSOURCEN
2.7278,0,MUSIK/RESSOURCEN
1.3584,0.111,MUSIK/RESSOURCEN
1.4992,0,NACHRICHTEN/INFORMATION
0,0,NACHRICHTEN/INFORMATION
1.4992,0,NACHRICHTEN/INFORMATION
1.4992,0,NACHRICHTEN/INFORMATION
1.4052,0,NACHRICHTEN/INFORMATION
0,0.333,MUSIK/RESSOURCEN
0,0.667,MUSIK/RESSOURCEN
0,0,MUSIK/RESSOURCEN
1.4184,0,NACHRICHTEN/INFORMATION
0,0,NACHRICHTEN/INFORMATION
1.6752,0,MUSIK/RESSOURCEN
1.4801,0,MUSIK/RESSOURCEN
0,0,MUSIK/RESSOURCEN
1.4016,0,NACHRICHTEN/INFORMATION
0,0.333,NACHRICHTEN/INFORMATION
2.7715,0,NACHRICHTEN/INFORMATION
1.2733,0.111,MUSIK/RESSOURCEN
1.4595,0,NACHRICHTEN/INFORMATION
2.5087,0,NACHRICHTEN/INFORMATION
2.65,0,MUSIK/RESSOURCEN
1.4992,0,NACHRICHTEN/INFORMATION
1.0095,0,NACHRICHTEN/INFORMATION
1.3998,0,NACHRICHTEN/INFORMATION
2.9985,0,NACHRICHTEN/INFORMATION
3.5142,0,MUSIK/RESSOURCEN
1.4992,0,NACHRICHTEN/INFORMATION
1.8685,0,MUSIK/RESSOURCEN
0,0.667,MUSIK/RESSOURCEN
0,0,MUSIK/RESSOURCEN
1.4496,0,MUSIK/RESSOURCEN
0,0.667,MUSIK/RESSOURCEN
2.8188,0,MUSIK/RESSOURCEN
1.4992,0,NACHRICHTEN/INFORMATION
1.4992,0,MUSIK/RESSOURCEN
2.786,0,NACHRICHTEN/INFORMATION
2.5518,0,NACHRICHTEN/INFORMATION
2.5087,0,NACHRICHTEN/INFORMATION
1.4992,0,NACHRICHTEN/INFORMATION
0,0.222,NACHRICHTEN/INFORMATION
1.1839,0,MUSIK/RESSOURCEN
1.27,0,NACHRICHTEN/INFORMATION
0,0.333,MUSIK/RESSOURCEN
1.2069,0,NACHRICHTEN/INFORMATION
0,0,NACHRICHTEN/INFORMATION
0,0.222,MUSIK/RESSOURCEN
2.7725,0.111,MUSIK/RESSOURCEN
0,0,NACHRICHTEN/INFORMATION
