@relation musik_ressourcen_test_table


@attribute location_found {false, true}
@attribute music_class numeric
@attribute music_klasse numeric
@attribute location_klasse numeric
@attribute family_klasse numeric
@attribute class {MUSIK/RESSOURCEN, NACHRICHTEN/INFORMATION}


@data

false,0,0,0,0,MUSIK/RESSOURCEN
true,1.1907,0,0.143,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,MUSIK/RESSOURCEN
false,1.149,0,0,0,NACHRICHTEN/INFORMATION
true,1.4016,0,1.5,0,NACHRICHTEN/INFORMATION
false,1.2723,0,0,0,NACHRICHTEN/INFORMATION
false,2.347,0,0,0,MUSIK/RESSOURCEN
true,1.4992,0,0.143,0,NACHRICHTEN/INFORMATION
false,0,0.667,0,0,MUSIK/RESSOURCEN
false,0,0,0,0,MUSIK/RESSOURCEN
false,1.3701,0,0,0,NACHRICHTEN/INFORMATION
true,0,0,0.214,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,MUSIK/RESSOURCEN
false,1.062,0,0,0,MUSIK/RESSOURCEN
false,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,MUSIK/RESSOURCEN
false,0,0,0,0,MUSIK/RESSOURCEN
false,1.318,0,0,0,MUSIK/RESSOURCEN
false,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,MUSIK/RESSOURCEN
false,0,0,0,0,MUSIK/RESSOURCEN
true,1.4992,0,0.143,0,NACHRICHTEN/INFORMATION
false,1.4595,0.111,1.714,0,NACHRICHTEN/INFORMATION
false,1.2388,0.222,0,0,NACHRICHTEN/INFORMATION
false,2.25,0,0,0,NACHRICHTEN/INFORMATION
false,1.3998,0,0,0,NACHRICHTEN/INFORMATION
false,0,0.222,0,0,MUSIK/RESSOURCEN
false,0,0.222,0,0,MUSIK/RESSOURCEN
true,1.4992,0,0.143,0,NACHRICHTEN/INFORMATION
true,1.4801,0,0.143,0,NACHRICHTEN/INFORMATION
false,1.1328,0,0,0,NACHRICHTEN/INFORMATION
true,1.2695,0,0.143,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,MUSIK/RESSOURCEN
false,0.8408,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,MUSIK/RESSOURCEN
false,0,0.111,0,0,MUSIK/RESSOURCEN
false,0.754,0,0,0,MUSIK/RESSOURCEN
false,0,0,0,0,MUSIK/RESSOURCEN
false,1.005,0,0,0,NACHRICHTEN/INFORMATION
false,0,0.556,0,0,MUSIK/RESSOURCEN
true,1.4992,0,0.143,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,MUSIK/RESSOURCEN
false,0,0,0,0,MUSIK/RESSOURCEN
false,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0.667,0,0,MUSIK/RESSOURCEN
false,0,0,0,0,MUSIK/RESSOURCEN
false,0,0.667,0,0,MUSIK/RESSOURCEN
false,0,0,0,0,MUSIK/RESSOURCEN
false,1.2733,0.111,0,0,NACHRICHTEN/INFORMATION
false,2.3156,0,0,0,NACHRICHTEN/INFORMATION
false,1.4992,0,0.143,0,NACHRICHTEN/INFORMATION
false,0.9664,0,0,0,NACHRICHTEN/INFORMATION
false,1.4992,0,0,0,NACHRICHTEN/INFORMATION
false,0,0.222,0,0,MUSIK/RESSOURCEN
true,1.4992,0,0.143,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,MUSIK/RESSOURCEN
false,1.2134,0,0,0,NACHRICHTEN/INFORMATION
false,0,0.333,0,0,MUSIK/RESSOURCEN
false,1.1299,0,0,0,NACHRICHTEN/INFORMATION
false,1.133,0.667,0.071,0,MUSIK/RESSOURCEN
true,1.4992,0,0.143,0,NACHRICHTEN/INFORMATION
false,0,0.444,0,0,MUSIK/RESSOURCEN
false,0,0,0,0,MUSIK/RESSOURCEN
false,0,0,0.071,0,NACHRICHTEN/INFORMATION
false,1.3313,0,0,0,NACHRICHTEN/INFORMATION
true,1.005,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,MUSIK/RESSOURCEN
true,1.4992,0,0.143,0,NACHRICHTEN/INFORMATION
false,1.2145,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,MUSIK/RESSOURCEN
false,0,0.667,0,0,MUSIK/RESSOURCEN
false,1.4992,0,0,0,NACHRICHTEN/INFORMATION
false,1.1907,0,0,0,NACHRICHTEN/INFORMATION
false,0,0.667,0,0,MUSIK/RESSOURCEN
false,2.1241,0,0,0,NACHRICHTEN/INFORMATION
false,1.517,0,0,0,MUSIK/RESSOURCEN
false,0,0,0,0,MUSIK/RESSOURCEN
false,1.154,0.556,0,0,MUSIK/RESSOURCEN
false,0.9381,0,0,0,NACHRICHTEN/INFORMATION
false,0,0.222,0,0,MUSIK/RESSOURCEN
false,0,0,0,0,MUSIK/RESSOURCEN
false,0,0,0,0,MUSIK/RESSOURCEN
false,0,0.667,0,0,MUSIK/RESSOURCEN
false,1.3313,0,0,0,NACHRICHTEN/INFORMATION
false,2.79,0,0,0,MUSIK/RESSOURCEN
true,1.3331,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,MUSIK/RESSOURCEN
false,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.331,0,0,0,MUSIK/RESSOURCEN
false,0,0,0,0,MUSIK/RESSOURCEN
true,0,0,0.357,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,MUSIK/RESSOURCEN
false,1.45,0,0,0,MUSIK/RESSOURCEN
false,1.3924,0,0,0,NACHRICHTEN/INFORMATION
false,1.184,0,0,0,MUSIK/RESSOURCEN
true,1.4992,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,NACHRICHTEN/INFORMATION
false,1.305,0,0,0,MUSIK/RESSOURCEN
false,1.1328,0,0,0,NACHRICHTEN/INFORMATION
false,1.2121,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,MUSIK/RESSOURCEN
false,1.0574,0,0,0,NACHRICHTEN/INFORMATION
true,1.499,0.667,0,0,MUSIK/RESSOURCEN
true,1.2626,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0.143,0,NACHRICHTEN/INFORMATION
false,1.4496,0,0,0,MUSIK/RESSOURCEN
true,2.7137,0,0,0,NACHRICHTEN/INFORMATION
false,1.517,0,0,0,MUSIK/RESSOURCEN
false,0,0,0,0,MUSIK/RESSOURCEN
false,0,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,MUSIK/RESSOURCEN
false,0,0.222,0,0,MUSIK/RESSOURCEN
false,1.971,0,0,0,MUSIK/RESSOURCEN
false,1.184,0,0,0,MUSIK/RESSOURCEN
false,0,0,0,0,MUSIK/RESSOURCEN
false,2.5623,0,0,0,NACHRICHTEN/INFORMATION
false,1.3703,0,0,0,NACHRICHTEN/INFORMATION
false,1.469,0,0,0,MUSIK/RESSOURCEN
false,1.3703,0,0,0,NACHRICHTEN/INFORMATION
false,1.4992,0,0,0.5,NACHRICHTEN/INFORMATION
true,0,0,0.143,0,MUSIK/RESSOURCEN
false,2.8696,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,MUSIK/RESSOURCEN
false,0,0.667,0,0,MUSIK/RESSOURCEN
false,1.1544,0,0,0,NACHRICHTEN/INFORMATION
false,0,0,0,0,NACHRICHTEN/INFORMATION
