@relation musik_ressourcen_test_table



@attribute location_found {false, true}
@attribute music_class numeric
@attribute music_klasse numeric
@attribute location_klasse numeric
@attribute family_klasse numeric
@attribute valueOfAllOtherClasses numeric
@attribute class {MUSIK/RESSOURCEN,NACHRICHTEN/INFORMATION}



@data

false,1.5218,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,0,0.111,0,0,0.0,MUSIK/RESSOURCEN
false,1.2433,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.3593,0.111,1.714,0,1.987,NACHRICHTEN/INFORMATION
true,1.5218,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.5218,0,1.714,0,1.714,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,0,0.222,0,0,0.0,MUSIK/RESSOURCEN
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,1.329,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.258,0.556,0,0,0.0,MUSIK/RESSOURCEN
false,1.1726,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,1.522,0,0,0.083,0.507,MUSIK/RESSOURCEN
false,0.8479,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,1.4107,0,0,0,0.0,NACHRICHTEN/INFORMATION
true,1.5218,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0.5,0,0.5,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,1.582,0,0,0,0.0,MUSIK/RESSOURCEN
true,1.5218,0,0.143,0,0.143,NACHRICHTEN/INFORMATION
false,1.208,0,0,0,0.0,MUSIK/RESSOURCEN
true,0,0,0.214,0,0.729,NACHRICHTEN/INFORMATION
true,1.5218,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,1.4799,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.173,0,0,0,0.0,MUSIK/RESSOURCEN
true,1.522,0.667,0,0,0.0,MUSIK/RESSOURCEN
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
false,1.2578,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.0961,0,0,0,0.182,NACHRICHTEN/INFORMATION
false,1.0218,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,1.446,0,0,0,0.0,MUSIK/RESSOURCEN
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
true,1.3995,0,0,0,0.0,NACHRICHTEN/INFORMATION
false,0,0,0,0,0.0,MUSIK/RESSOURCEN
true,1.231,0.111,0,0,0.0,MUSIK/RESSOURCEN
