@relation train_land_ort


@attribute location_found {false, true}
@attribute news_class numeric
@attribute location_klasse numeric
@attribute class {LAND/ORT, NACHRICHTEN/INFORMATION}


@data

false,0.0,0.0,LAND/ORT
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
true,3.0281,0.0,NACHRICHTEN/INFORMATION
false,0.0,1.357,LAND/ORT
false,1.1713,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.143,NACHRICHTEN/INFORMATION
false,1.2711,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,LAND/ORT
true,0.0,0.143,LAND/ORT
false,0.0,0.0,NACHRICHTEN/INFORMATION
true,0.0,0.0,LAND/ORT
false,1.464,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.143,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,LAND/ORT
true,0.0,0.143,LAND/ORT
false,0.0,0.143,LAND/ORT
false,0.0,0.0,LAND/ORT
true,0.0,0.214,LAND/ORT
true,0.0,0.0,LAND/ORT
true,0.0,0.286,LAND/ORT
false,0.0,0.143,NACHRICHTEN/INFORMATION
false,1.2691,0.0,NACHRICHTEN/INFORMATION
false,1.2197,0.071,NACHRICHTEN/INFORMATION
true,0.0,0.0,NACHRICHTEN/INFORMATION
false,2.017,0.0,NACHRICHTEN/INFORMATION
false,2.6195,0.071,LAND/ORT
false,0.0,0.0,NACHRICHTEN/INFORMATION
true,0.0,0.0,LAND/ORT
false,0.0,0.0,NACHRICHTEN/INFORMATION
true,0.0,0.286,LAND/ORT
false,1.8876,0.0,NACHRICHTEN/INFORMATION
false,0.0,1.357,LAND/ORT
true,0.0,0.0,LAND/ORT
false,0.0,0.0,NACHRICHTEN/INFORMATION
true,0.0,0.143,NACHRICHTEN/INFORMATION
true,0.0,0.0,LAND/ORT
true,0.0,0.0,LAND/ORT
true,0.0,0.286,LAND/ORT
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,1.5,LAND/ORT
true,0.0,0.143,LAND/ORT
false,0.0,0.0,LAND/ORT
false,0.0,0.143,LAND/ORT
true,0.0,0.143,LAND/ORT
true,0.0,0.143,LAND/ORT
true,0.0,0.071,LAND/ORT
true,0.0,0.071,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
true,0.0,0.0,LAND/ORT
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,1.1373,0.0,NACHRICHTEN/INFORMATION
false,1.4086,0.0,NACHRICHTEN/INFORMATION
true,0.0,0.0,LAND/ORT
false,2.7961,0.0,NACHRICHTEN/INFORMATION
false,1.464,0.0,NACHRICHTEN/INFORMATION
true,0.0,0.0,LAND/ORT
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,LAND/ORT
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.9911,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,1.4734,0.0,NACHRICHTEN/INFORMATION
false,0.0,1.357,NACHRICHTEN/INFORMATION
false,1.0985,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,LAND/ORT
true,0.0,0.0,NACHRICHTEN/INFORMATION
false,1.2197,0.0,LAND/ORT
true,0.0,0.0,LAND/ORT
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,LAND/ORT
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
true,0.0,0.5,LAND/ORT
true,0.0,0.0,LAND/ORT
false,0.0,0.0,LAND/ORT
true,0.0,0.0,LAND/ORT
true,0.0,0.0,LAND/ORT
true,0.0,0.143,LAND/ORT
false,0.0,0.0,LAND/ORT
false,0.0,0.0,NACHRICHTEN/INFORMATION
true,0.0,0.0,LAND/ORT
true,0.0,0.143,LAND/ORT
false,1.1375,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,1.3252,0.0,NACHRICHTEN/INFORMATION
true,0.0,0.0,LAND/ORT
true,0.0,0.0,LAND/ORT
false,0.0,0.0,LAND/ORT
true,0.0,0.0,LAND/ORT
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,1.1375,0.0,NACHRICHTEN/INFORMATION
true,0.0,0.0,LAND/ORT
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,LAND/ORT
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,1.567,0.0,NACHRICHTEN/INFORMATION
false,1.0143,0.0,NACHRICHTEN/INFORMATION
false,2.1243,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,LAND/ORT
true,0.0,0.143,LAND/ORT
false,0.0,0.429,LAND/ORT
false,1.4086,0.0,NACHRICHTEN/INFORMATION
false,0.0,1.714,NACHRICHTEN/INFORMATION
false,0.0,1.714,LAND/ORT
false,0.0,0.0,LAND/ORT
true,0.0,0.0,LAND/ORT
true,0.0,0.0,LAND/ORT
false,1.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.286,LAND/ORT
false,0.0,0.286,LAND/ORT
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
true,1.5189,1.5,LAND/ORT
false,0.0,0.5,LAND/ORT
true,0.0,0.143,LAND/ORT
true,0.0,0.0,LAND/ORT
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,1.1918,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,LAND/ORT
true,0.0,0.143,LAND/ORT
false,0.0,0.0,LAND/ORT
false,0.0,0.0,LAND/ORT
false,0.0,0.0,NACHRICHTEN/INFORMATION
true,0.0,0.071,LAND/ORT
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,LAND/ORT
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
true,0.0,0.143,LAND/ORT
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,1.714,LAND/ORT
false,2.5303,0.0,NACHRICHTEN/INFORMATION
false,2.017,0.0,NACHRICHTEN/INFORMATION
false,2.4664,0.0,NACHRICHTEN/INFORMATION
true,0.0,0.143,LAND/ORT
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,1.6881,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
true,0.0,0.143,LAND/ORT
false,1.1373,0.0,NACHRICHTEN/INFORMATION
false,1.0106,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
false,0.0,0.0,NACHRICHTEN/INFORMATION
