id,person_name,person_name_lc,person_name_ngram,person_name_length,person_name_counts
e38a150f-4c6c-415a-9b9f-89d4ffd3c5b6,Lionel Messi,lionel messi,2,12,5
0ec041bd-20a2-4cb5-8b8a-61c1beb91444,Cristiano Ronaldo,cristiano ronaldo,2,17,4
40576130-7c73-4841-8ff1-d1b1a0a8b03f,Xavi,xavi,1,4,9
796e8f0f-3ef5-4f02-a6ce-9311bf848513,Andres Iniesta,andres iniesta,2,14,0
e3376532-a926-4bc4-9872-4a6334668fdf,Zlatan Ibrahimovic,zlatan ibrahimovic,2,18,0
ae14cb7d-9096-4943-aa73-a40cff012b5a,Radamel Falcao,radamel falcao,2,14,2
3a4b0be0-0c6b-4f36-a5c1-e909d1a2ac8c,Robin van Persie,robin van persie,3,16,4
8377d0e2-8b37-4911-b2d1-3b3a3121f0c7,Andrea Pirlo,andrea pirlo,2,12,3
d70124ab-003e-4693-9411-72bfeb369d2e,Yaya Toure,yaya toure,2,10,10
d072fec3-b2d1-408e-b53e-16f4215b4714,Edinson Cavani,edinson cavani,2,14,10
472fc0ed-6483-4d39-9b8c-5302f878f776,Sergio Aguero,sergio aguero,2,13,5
b508c56f-af7b-498c-b274-5d572002fb79,Iker Casillas,iker casillas,2,13,9
134d1f05-a3cd-4cde-8161-e4a6e3415563,Neymar,neymar,1,6,4
26cde50d-66bb-4a0e-bf74-b30977ebf861,Sergio Busquets,sergio busquets,2,15,3
161ce36f-0dec-4f0f-9f59-9fc56ce1bd65,Xabi Alonso,xabi alonso,2,11,9
860ac0c1-34c3-4b42-8585-8877c697f74e,Thiago Silva,thiago silva,2,12,4
d83e4e95-37dd-4d04-97f4-9ce909376d37,Mesut Ozil,mesut ozil,2,10,7
3538fbcd-e761-4ff2-8c66-7a625f7e4a98,David Silva,david silva,2,11,2
0fa9ebb1-f3fa-49bb-a1b9-0e638919c034,Bastian Schweinsteiger,bastian schweinsteiger,2,22,8
8ba8dc8c-bde5-45a4-85f7-850fdd6e0b85,Gianluigi Buffon,gianluigi buffon,2,16,10
c3894a43-ccd8-46de-9b0d-84476a9088ea,Luis Suarez,luis suarez,2,11,8
f524b4b0-97fc-4e0a-a23a-5d09ea876931,Sergio Ramos,sergio ramos,2,12,7
cd6c57ed-5966-48f8-b9c1-3b725bc4e5f1,Vincent Kompany,vincent kompany,2,15,3
49cc92f2-5c52-4d0b-a5f1-03d638fe0157,Gerard Pique,gerard pique,2,12,3
c77e2943-0311-4c37-b5b8-2b8e74b76752,Philipp Lahm,philipp lahm,2,12,0
0ad06faa-4ebd-4f46-a331-bf9539b226b9,Willian,willian,1,7,3
051aabd3-aebf-4ac6-a9c9-12b0e213bbce,Marco Reus,marco reus,2,10,10
edf28976-dbfe-4ac8-aa4e-ce0db28ddf1e,Franck Ribery,franck ribery,2,13,6
25754392-2579-4d94-be40-98f653e9bb3f,Manuel Neuer,manuel neuer,2,12,7
2a10cf50-0bf1-4203-a3f6-948e0af3f91f,Ashley Cole,ashley cole,2,11,5
8b1c3f86-95cc-407b-8a7c-fe3f1f36c118,Wayne Rooney,wayne rooney,2,12,10
e95b7813-722b-462f-9151-43407895035b,Juan Mata,juan mata,2,9,9
b2e7e576-b08d-4370-b617-a6dc8f3f13cf,Thomas Muller,thomas muller,2,13,6
d5d7b930-cb79-4a3d-8b54-ebd5ef97266f,Mario Götze,mario götze,2,11,3
dc204cb3-991d-4418-8ed5-d5211f47bec9,Karim Benzema,karim benzema,2,13,10
42a60278-1f34-4f20-b0d6-d3c432709a3d,Cesc Fabregas,cesc fabregas,2,13,0
41590fd1-c4c2-41b4-a3db-dd4bc0358447,Oscar,oscar,1,5,4
2a8f9227-c5e2-4237-bc6c-bb39f25dab4b,Fernandinho,fernandinho,1,11,8
1e95714a-35a9-462b-951f-b0ba312ca08f,Javier Mascherano,javier mascherano,2,17,3
bb50dcd1-874d-4f8a-8357-c31f4bb755aa,Gareth Bale,gareth bale,2,11,4
da5a8f38-5bd4-4cc5-84b8-95a7c97faf9b,Javier Zanetti,javier zanetti,2,14,9
99ffbd2c-f193-47ec-ae8e-10b7dd2396cc,Daniele De Rossi,daniele de rossi,3,16,7
14bb3935-6c31-4202-8e25-e5ac92ec2444,Dani Alves,dani alves,2,10,10
2bd42b80-5ba3-48b2-931d-a0cfe5aa4991,Petr Cech,petr cech,2,9,1
a3fca595-24c2-4461-8000-c27d64413e9a,Mats Hummels,mats hummels,2,12,6
e1d69eb8-34f3-42c6-9851-111c70b73663,Carles Puyol,carles puyol,2,12,10
3474e347-4dc2-42f6-8e52-c6b76bf7a429,Angel Di Maria,angel di maria,3,14,5
10115666-d31a-4e7a-9b6e-84d8c22f4a45,Carlos Tevez,carlos tevez,2,12,4
3a4c539f-63b3-47a0-8c91-ca60a5a018eb,Didier Drogba,didier drogba,2,13,8
0b5ca61d-5843-45dc-a699-d6942dcd7f6e,Giorgio Chiellini,giorgio chiellini,2,17,6
137ebfda-d74c-426b-874f-f82fc560ffc4,Marcelo,marcelo,1,7,1
aa681125-3a5e-4af2-9efa-6266fe92f9d0,Stephan El Shaarawy,stephan el shaarawy,3,19,8
6285a4f3-f3ea-49a0-b0a5-90b76e91b281,Toni Kroos,toni kroos,2,10,3
7c142a21-a487-4926-810a-6bda36791a9a,Samuel Eto’o,samuel eto’o,2,12,7
cf68b5f6-5c10-4893-a7b4-c8d78b286559,Jordi Alba,jordi alba,2,10,1
737c6333-a4ea-450a-b54c-915a06a64bb6,Mario Gomez,mario gomez,2,11,4
9822a043-9a42-4f73-bed2-be3adcf2fa55,Arturo Vidal,arturo vidal,2,12,4
5073d757-aa6a-4221-be8d-780495c06885,Eden Hazard,eden hazard,2,11,6
a94ebb5f-c2b5-49e5-bd2b-c369780795a9,James Rodriguez,james rodriguez,2,15,2
62b03338-9ed0-44a9-b553-5d13acfeb2a5,Marouane Fellaini,marouane fellaini,2,17,8
cb0de9ab-a31e-4030-817f-2050394c866d,Ramires,ramires,1,7,9
469b797d-0f3b-4bb4-b55f-5ac4e28766fa,David Villa,david villa,2,11,1
15c971dd-1adc-43b2-b299-31c87e4177fd,Klaas Jan Huntelaar,klaas jan huntelaar,3,19,1
cb302988-c984-4aa8-8e9a-92981e2ec3d4,Nemanja Vidic,nemanja vidic,2,13,0
b2d8f811-e93d-4ca2-8f16-3bd1bba8d198,Joe Hart,joe hart,2,8,4
a3dc3f11-79b8-452f-950c-0e970cb3ea8e,Arjen Robben,arjen robben,2,12,5
422d9f5a-3e99-47b0-917c-fd17d527ace1,Mario Balotelli,mario balotelli,2,15,3
a745ff02-d02b-4c62-b637-5e8098ff82a8,Mathieu Valbuena,mathieu valbuena,2,16,10
faa22dfb-ea00-48f3-9129-9220aedfbb5f,Pierre-Emerick Aubameyang,pierre-emerick aubameyang,2,25,10
3ae76676-f084-4c82-b6c7-6d30c30c1f04,Robert Lewandowski,robert lewandowski,2,18,8
0be08ed0-dbcd-4acd-9d88-99906f84a653,Hernanes,hernanes,1,8,3
05af4423-1fba-4606-a380-a3e465220dd4,Pedro,pedro,1,5,2
