id,location_name,location_area,location_state,location_art
1,Au,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
2,Auggen,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
3,Badenweiler,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
4,Bad Krozingen,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
5,Ballrechten-Dottingen,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
6,Bötzingen,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
7,Bollschweil,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
8,Breisach am Rhein,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
9,Breitnau,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
10,Buchenbach,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
11,Buggingen,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
12,Ebringen,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
13,Ehrenkirchen,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
14,Eichstetten am Kaiserstuhl,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
15,Eisenbach (Hochschwarzwald),Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
16,Eschbach,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
17,Feldberg,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
18,Friedenweiler,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
19,Glottertal,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
20,Gottenheim,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
21,Gundelfingen,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
22,Hartheim,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
23,Heitersheim,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
24,Heuweiler,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
25,Hinterzarten,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
26,Horben,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
27,Ihringen,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
28,Kirchzarten,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
29,Lenzkirch,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
30,Löffingen,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
31,March,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
32,Merdingen,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
33,Merzhausen,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
34,Müllheim,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
35,Münstertal,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
36,Neuenburg am Rhein,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
37,Oberried,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
38,Pfaffenweiler,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
39,Sankt Märgen,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
40,Sankt Peter,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
41,Schallstadt,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
42,Schluchsee,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
