id,location_name,location_iata,location_state,location_art
19f68c51-22f3-414f-8414-1c4bb0271091,Anaa,AAA,Französisch-Polynesien,int
254357f0-7f47-4800-b922-ee3dc5a83ee4,Arrabury,AAB,Australien,int
17a7b887-f546-40b6-b3e4-5eb00b0c8ddc,al-Arisch,AAC,Ägypten,int
d15449c6-59db-4a71-a30c-85efbffb840f,Ad-Dabbah,AAD,Sudan,int
c2180f07-e660-49f3-9b88-9e894bde85cb,Annaba (El Mellah),AAE,Algerien,int
ff706d85-82e1-401d-a0c3-cca3228a60c6,Apalachicola,AAF,Vereinigte Staaten,int
c43e0ad3-1de3-4791-8da3-1fd97bcb4b39,Arapoti,AAG,Brasilien,int
617670c4-068c-43a1-9a96-bf5dd5253b51,Würselen,AAH,Deutschland,int
0d060d6d-03b5-48fd-89ea-c287a7381db4,Arraias,AAI,Brasilien,int
9dad84fc-4bfd-42d4-b5ed-21acb62e404f,Awaradam,AAJ,Suriname,int
a8e0ee8b-83a6-41a1-b094-525d927949aa,Aranuka,AAK,Kiribati,int
f54c5565-0ee4-4089-8f92-032672b9045c,Aalborg,AAL,Dänemark,int
a7cd2266-ada5-4f5f-9252-eb5f5d95f32b,Mala Mala,AAM,Südafrika,int
3f242932-9a98-4459-b3cb-0e23e83210b1,al-Ain,AAN,Vereinigte Arabische Emirate,int
5232c0aa-9ef6-48b6-b222-9aa777af4f9b,Anaco,AAO,Venezuela,int
a0bcafc6-0ecd-4896-be1f-5de52e10dfd6,Houston,AAP,Vereinigte Staaten,int
74928369-2d88-49b1-b606-fa2660655001,Anapa,AAQ,Russland,int
960a6680-7596-4e99-99bd-142999539c63,Aarhus,AAR,Dänemark,int
ac53c512-469e-4fab-ad27-034104a5bf84,Apalapsili,AAS,Indonesien,int
64e3416b-9671-49a7-ba21-3add0dc17f10,Altay,AAT,Volksrepublik China,int
3ee7d216-2a9f-4123-8bcb-b81eb03ddab8,Alturas,AAT,Vereinigte Staaten,int
cb002189-02f2-4358-8cd7-b16ed0b4745a,Asau,AAU,Samoa,int
d21090cc-a59a-4a17-a95e-b94cfd13ead2,Alah,AAV,Philippinen,int
f7014345-92a8-443c-94ca-8a0b1bbdcb35,Abbottabad,AAW,Pakistan,int
0dcf24a5-c85b-4c48-b4e1-8a0ceea0eaa8,Araxá,AAX,Brasilien,int
b5ea470e-45c8-4b84-8cf4-f8c64322af52,Al-Ghaydah,AAY,Jemen,int
4b36dc88-cb43-4390-b3d5-5a09c1808b3d,Quetzaltenango,AAZ,Guatemala,int
0acc8385-b576-4975-bdac-6355802086db,Al-Jubail,AAZ,Saudi-Arabien,int
c6ebe2b4-8f21-4583-becd-f5b5127bcf6f,Abakan,ABA,Russland,int
7fbc5f43-9aef-4577-8c1b-7fc5e5d8ac78,Abingdon,ABB,Vereinigtes Königreich,int
963e404f-9a20-490c-8d31-f8c61656e123,Albacete,ABC,Spanien,int
dda4038f-1cd3-4cfb-817a-fe8d8343683b,Abadan,ABD,Iran,int
9dbd2b81-8f34-42ca-8553-c50eaf46e517,Allentown (Pennsylvania) Allentown-Bethlehem (Pennsylvania)|Bethlehem-Easton (Pennsylvania),ABE,Vereinigte Staaten,int
c5531971-a7d5-4e40-8220-f42870dceee3,Abaiang,ABF,Kiribati,int
79baba15-9580-404e-953d-2bd70cfef0bf,Abingdon,ABG,Australien,int
80bb6dd1-32b9-44ba-a98d-baf06c4ee391,Alpha,ABH,Australien,int
b297950d-5bf7-458c-8524-38eab7096f46,Abilene,ABI,Vereinigte Staaten,int
9734079c-598f-4a7e-9b90-b69ef644b96d,Abidjan,ABJ,Elfenbeinküste,int
0b74b0dc-9da9-4e53-a3e3-4ada718ba3c5,Kabri Dar,ABK,Äthiopien,int
a22591e6-49e6-4639-a741-19204740477d,Ambler,ABL,Vereinigte Staaten,int
723a2665-d962-4efd-a615-552d73c664dd,Bamaga,ABM,Australien,int
109d62f1-4fc8-498d-bb5b-d2579e67d5c4,Albina,ABN,Suriname,int
0006d943-9d4d-403b-9323-56a92ff94a49,Aboisso,ABO,Elfenbeinküste,int
adf6f025-8344-4d37-a8cf-0bca7865852a,Atkamba,ABP,Papua-Neuguinea,int
8e5c1936-b431-4fad-8009-47b19cf2aa27,Albuquerque,ABQ,Vereinigte Staaten,int
aa5b6060-c9a5-4cbb-beba-a1a9781262d4,Aberdeen (South Dakota) Aberdeen,ABR,Vereinigte Staaten,int
fc40b9a9-f7d2-4df5-8df0-16e3c5532170,Abu Simbel,ABS,Ägypten,int
8c117d12-0444-475c-a531-b7b44344d855,Al-Baha,ABT,Saudi-Arabien,int
2b1a3f74-5252-43c3-a29b-2be9322ab952,Atambua,ABU,Indonesien,int
d94d6938-0e05-4eb9-943b-6af5368a4aab,Abuja,ABV,Nigeria,int
302471d4-33d9-471d-8650-df8e9ffe7b02,Abau,ABW,Papua-Neuguinea,int
0511f2be-34a0-40db-b370-0682825eee51,Albuquerque,ABX,Vereinigte Staaten,int
718c195b-dcad-4448-919a-4c904200f2d2,Albury,ABX,Australien,int
7bb0c213-95e8-4965-8c0c-d6a88007b81e,Albany,ABY,Vereinigte Staaten,int
2b2c9d70-2c2b-4519-96e3-a4a59993784c,Aberdeen,ABZ,Vereinigtes Königreich,int
cee837ba-dbfb-490a-af95-34d843fbed06,Acapulco,ACA,Mexiko,int
a214bc21-0c92-454b-9711-8f1cbbb7b093,Bellaire (Michigan),ACB,Vereinigte Staaten,int
