id,person_name,person_name_lc,person_name_ngram,person_name_length,person_name_counts
cd618316-7b3e-4d54-b46c-d22365dbcfda,﻿ike Casillas,﻿ike casillas,2,13,6
ee5c02ba-b785-4bda-8eac-463a0d399a6e,Xavie Hernánde Creu,xavie hernánde creu,3,19,0
96480402-9388-4ca3-b267-958a6c553e9b,Andon Zubizarreta,andon zubizarreta,2,17,1
6c7edb6b-d863-49c7-a9aa-9c8f9e2ea78d,Sergi Ramo García,sergi ramo garcía,3,17,8
eef5f598-9a7d-4c94-a753-bebb7395294a,Xab Alons Olano,xab alons olano,3,15,6
3c3adc1b-4ced-40ab-9a58-c48d9cd0b19a,Fernand Torres,fernand torres,2,14,3
ab5c68bb-676f-4f5e-aaa2-6dfc787a222f,Raú Gonzále Blanco,raú gonzále blanco,3,18,6
c415d89c-e284-4ddd-970f-d10c291e2fb0,Carle Puyol,carle puyol,2,11,0
4212d22e-fa2f-40a0-a9a7-d0d8fd1c786b,André Iniesta,andré iniesta,2,13,9
5620a2c4-7439-483b-b80f-c8434b2db877,Davi Villa,davi villa,2,10,6
2f3b543b-06fb-44c3-adba-c2aa002977cb,Fernand Rui Hierro,fernand rui hierro,3,18,6
362867d0-c3e1-4d66-abaf-670844bf3315,Frances Fábregas,frances fábregas,2,16,0
c0ede625-e53b-4714-9b1a-e28fc3806c5a,Jos Antoni Camacho,jos antoni camacho,3,18,5
fc8a2e07-9b16-4d32-90a4-c807708d98e1,Davi Jiméne Silva,davi jiméne silva,3,17,4
5786aa21-61d5-415b-abb8-d42e6e26d002,Rafae Gordillo,rafae gordillo,2,14,10
4f0686bf-6d9e-427e-8610-bf656057035e,Emili Butragueño,emili butragueño,2,16,9
330c4c92-19ad-4596-ab04-49c7e112140f,Carlo Marchen Lópe,carlo marchen lópe,3,18,5
cec39073-e9db-4263-b413-df52f7888f66,Lui Migue Arconada,lui migue arconada,3,18,6
f22cefe2-809e-46ce-9372-65e9c0babbe3,Migue Gonzále,migue gonzále,2,13,7
f5c6443d-d20d-4d6b-81eb-358cd44ef740,Sergi Busquets,sergi busquets,2,14,2
4fc5d58e-929c-4f25-a10b-e4b89d37d7f2,Santiag Cazorl Gonzále,santiag cazorl gonzále,3,22,7
f5643fa1-5be9-4d9a-8816-e2ee21de8314,Lui Enriqu Martínez,lui enriqu martínez,3,19,10
407dd9ab-a96b-4a62-a177-624f5b8571d6,Migue Ange Nadal,migue ange nadal,3,16,8
02a50e39-10ea-43d6-986e-c7ebd708382b,Joa Capdevila,joa capdevila,2,13,10
8c1945a6-d63e-4ed1-a827-cc37aa76d89e,Vícto Muñoz,vícto muñoz,2,11,4
a2dc2565-e14c-4fad-ba86-114fec787d02,Gerar Piqué,gerar piqué,2,11,0
0ab0b8aa-2d75-4152-af33-746d2950f6aa,Alvar Arbeloa,alvar arbeloa,2,13,4
df2700a1-17a2-49ca-bbcc-c981d571afa6,Juli Salina Fernández,juli salina fernández,3,21,1
17a67004-17e3-4b96-adca-44bbe992a47f,Carlo Alons,carlo alons,2,11,8
c8a789a2-4576-4d46-a3eb-503bb9b853fe,Serg Barjuan,serg barjuan,2,12,4
287ac5d6-fdf3-4de4-8aa1-05b6b2a99dc1,Abelard Fernández,abelard fernández,2,17,6
6200aa1e-37e8-42e7-ae92-5dc5b660e006,Rafae Alkorta,rafae alkorta,2,13,6
08a2083e-d42d-49c0-928a-e4cd64a7f1c9,Joseb Etxeberría,joseb etxeberría,2,16,3
9ea87649-dd6f-4016-98e9-9275e4c43d3b,Miche Salgad Fernández,miche salgad fernández,3,22,6
c09e4804-eeb8-4ff2-bd83-95da01b8d62f,Davi Albelda,davi albelda,2,12,5
5036e206-ed74-40ed-811f-2a3a565f57ba,Joaquí Sánche Rodrígue,joaquí sánche rodrígue,3,22,4
45f7d9fb-0136-4453-808c-25bffbe33abe,Jos Ange Iribar,jos ange iribar,3,15,5
53d3d849-b9cc-40ea-825b-4f5debfcbbe4,Manue Sanchís,manue sanchís,2,13,5
cba9da4a-ff5c-4bbe-977d-65b0b3d7d99f,Jose Guardiola,jose guardiola,2,14,10
14bf963e-2d72-423d-8519-cb26bc0015e6,Ivá Helguera,ivá helguera,2,12,1
0d36e954-a6f3-4625-b4ae-f460fecbf25c,Fernand Morientes,fernand morientes,2,17,1
a3d1e3ae-cb23-441e-96d2-12a24a209c57,Santiag Cañizares,santiag cañizares,2,17,9
ec7c7adf-8067-4fd3-86fe-c50f80afd124,Jua Carlo Valerón,jua carlo valerón,3,17,8
0eb29a55-7367-4810-9a8e-efbd17016bfa,Ricard Zamora,ricard zamora,2,13,8
e65e9f6e-0d67-4b9f-9c59-7416da6e7033,Raú Albiol,raú albiol,2,10,4
c50743d3-ad49-4140-a73e-fa9d1a93b813,Rubé Baraja,rubé baraja,2,11,5
3430d511-a599-42d1-86fe-bf5f1f1c73af,Francisc Gento,francisc gento,2,14,2
86b83dd8-f771-4126-8a51-7f6e32cbb27d,Amanci Amar Varela,amanci amar varela,3,18,0
4e31341f-fb7e-4b5a-a236-1c593433cb49,Ricard Gallego,ricard gallego,2,14,10
5101b4d5-d686-4bac-a315-5a42a42d81e5,Jua Manue Asensi,jua manue asensi,3,16,8
9a141263-3d16-4dcd-98c2-08d55da5833e,Jule Guerrero,jule guerrero,2,13,9
53bcdaed-c4c6-4619-bae5-97b47791d653,Jos Martíne,jos martíne,2,11,3
a53d52c0-ee92-4f4d-8caa-f2dcfdcec6d6,Jua Antoni Señor,jua antoni señor,3,16,3
81d31306-acbc-4ead-adb8-ea074e7999f6,Gaizk Mendieta,gaizk mendieta,2,14,4
53065039-2f96-4cd6-ba45-33cf496d48ab,Andon Goicoechea,andon goicoechea,2,16,8
188a84a3-01b3-475b-bc2e-789424312a5c,Alfons Pére Muñoz,alfons pére muñoz,3,17,4
1f4b5422-1056-4845-8bbd-e100ba8629bc,Rafae Martí Vásquez,rafae martí vásquez,3,19,1
6ced985d-7c5e-4744-92b3-a6113c0beb0f,Pedr Rodrígue Ledesm,pedr rodrígue ledesm,3,20,1
6735aa91-0b0a-45d7-b3de-73dbf153193b,Vicent Rodrígue Guillé,vicent rodrígue guillé,3,22,10
241a3a06-10f0-4c9f-9d26-1f9d90309dd5,Guillerm Amor,guillerm amor,2,13,10
10273a24-f4ff-4180-8113-43ec3f91de5c,Alber Ferrer,alber ferrer,2,12,10
15a01707-7281-498a-b50c-9af12181fc81,Francisc Fernánde Gallego,francisc fernánde gallego,3,25,4
61e6e1a8-6227-4245-9203-a65179b6a736,Jo Andon Goicoetxea,jo andon goicoetxea,3,19,3
d595f4c6-8d4b-4160-9a3b-ad3623218f56,Antoni Maceda,antoni maceda,2,13,3
95fc2cdb-6d92-4f73-afea-d0b0a3501b62,Francisc Jos Carrasco,francisc jos carrasco,3,21,0
