@relation land_ort_train_data


@attribute location_found {false, true}
@attribute similarity_to_location_en numeric
@attribute similarity_to_location_de numeric
@attribute class {LAND_ORT, NO_LO}


@data

false,1.4872,0,LAND_ORT
false,0,1.357,LAND_ORT
false,0,0,NO_LO
true,1.7572,0.143,LAND_ORT
false,1.7572,0,NO_LO
false,1.6177,0,NO_LO
false,0,0,NO_LO
true,1.757,0,LAND_ORT
true,1.7572,0.071,LAND_ORT
false,2.318,0,NO_LO
false,1.324,0,LAND_ORT
false,0,0,LAND_ORT
false,1.1918,0,NO_LO
false,1.3721,0,NO_LO
false,0,0,NO_LO
true,1.757,0,LAND_ORT
true,0,0.143,LAND_ORT
false,0,0,NO_LO
true,1.757,0.286,LAND_ORT
false,1.6177,0,NO_LO
false,1.1918,0,LAND_ORT
false,1.109,0,NO_LO
true,1.757,0,LAND_ORT
true,1.2779,0,NO_LO
false,0,0,NO_LO
false,0,0,NO_LO
true,0,0,LAND_ORT
true,0,0.143,LAND_ORT
false,1.7572,0.143,LAND_ORT
false,0,0,LAND_ORT
false,1.1126,0,NO_LO
false,0,0,NO_LO
false,1.109,0,NO_LO
true,1.7572,0.286,LAND_ORT
false,0,0,NO_LO
true,1.7572,0.143,LAND_ORT
false,1.2779,0,NO_LO
false,0,0,NO_LO
false,0,0,NO_LO
true,0,0.214,NO_LO
false,1.7572,1.714,LAND_ORT
true,1.7572,0.143,LAND_ORT
true,0,0,LAND_ORT
false,0,1.429,LAND_ORT
false,1.5552,0,NO_LO
false,1.4687,0,NO_LO
false,0,0,NO_LO
true,1.7572,0.143,LAND_ORT
false,0,0,NO_LO
true,1.757,0.143,LAND_ORT
false,1.377,0.071,NO_LO
true,1.757,0,LAND_ORT
true,1.757,0,LAND_ORT
true,0,0,LAND_ORT
false,1.1901,0,NO_LO
false,1.757,0.143,LAND_ORT
false,1.6467,0,NO_LO
false,1.7572,0,NO_LO
false,0,0,LAND_ORT
false,1.109,0,NO_LO
false,0,0,NO_LO
true,0,0.143,LAND_ORT
false,2.4114,0,NO_LO
true,1.2671,0.143,LAND_ORT
true,0,0,LAND_ORT
false,0.9651,0,NO_LO
false,1.1901,0,NO_LO
false,1.109,0,NO_LO
false,1.7572,0.143,NO_LO
false,1.7572,1.714,LAND_ORT
false,0,1.357,LAND_ORT
false,1.4872,0,NO_LO
false,0,0,NO_LO
true,1.0343,0,NO_LO
true,0,0,NO_LO
true,1.109,0,NO_LO
false,1.4762,0,NO_LO
true,0,0.143,LAND_ORT
false,1.7572,1.714,LAND_ORT
false,1.039,0,LAND_ORT
false,0,0.071,LAND_ORT
false,0,0,NO_LO
true,1.396,0,LAND_ORT
false,1.1901,0.357,LAND_ORT
false,0,0,NO_LO
true,1.7572,0,NO_LO
true,0,0,LAND_ORT
true,1.757,0.143,LAND_ORT
true,0,0,LAND_ORT
false,1.7572,0,LAND_ORT
true,1.7572,0.143,LAND_ORT
false,2.6879,0,NO_LO
true,1.7572,0,NO_LO
false,1.279,0.143,LAND_ORT
false,1.1126,0,NO_LO
false,0,0,LAND_ORT
false,1.1918,0,NO_LO
false,0,0.357,NO_LO
false,0,0,NO_LO
true,0,0,LAND_ORT
true,0,0,LAND_ORT
false,3.1222,0,LAND_ORT
false,1.1918,0,NO_LO
false,1.1126,0,NO_LO
false,0,0.429,LAND_ORT
true,1.7572,0.286,LAND_ORT
false,1.1901,0,NO_LO
false,0,0,NO_LO
false,1.7572,0,NO_LO
false,1.4762,0,NO_LO
false,1.0392,0,NO_LO
false,0,0,NO_LO
false,1.7572,0,NO_LO
true,0,0.214,LAND_ORT
false,1.7572,0,NO_LO
true,1.7572,0,LAND_ORT
true,1.7572,0.571,NO_LO
false,0.8399,0,NO_LO
false,0,0,LAND_ORT
false,1.2671,0,LAND_ORT
false,1.2671,0,LAND_ORT
false,0,0,LAND_ORT
true,1.7572,0,LAND_ORT
false,0,1.714,NO_LO
false,0,0.143,NO_LO
false,1.417,0,NO_LO
true,0,0,LAND_ORT
false,0,0,NO_LO
false,1.109,0,NO_LO
false,1.7572,0,NO_LO
true,1.109,0.143,NO_LO
false,1.7572,0,NO_LO
false,0.9005,0,LAND_ORT
false,1.3721,0,NO_LO
true,1.7572,0,LAND_ORT
true,1.4762,1.5,LAND_ORT
false,2.2245,0.357,NO_LO
false,2.3836,0,NO_LO
false,1.7572,0,NO_LO
false,2.1626,0,NO_LO
true,1.7572,0,LAND_ORT
false,1.757,0.357,LAND_ORT
false,1.7572,1.714,NO_LO
true,1.7572,0.071,LAND_ORT
false,2.7916,0,NO_LO
false,1.1901,0,NO_LO
false,1.7572,0,LAND_ORT
false,0,1.714,NO_LO
true,1.7572,0.143,LAND_ORT
false,1.7572,0,NO_LO
true,1.7572,0.071,NO_LO
false,3.5145,1.357,NO_LO
false,1.109,0,LAND_ORT
false,0,0,NO_LO
true,2.6039,0,NO_LO
true,1.7572,0.143,LAND_ORT
true,0,0,NO_LO
true,1.7572,0.286,LAND_ORT
false,1.4243,0,NO_LO
false,3.5145,0,NO_LO
true,1.4762,1.5,LAND_ORT
true,1.4243,0.143,LAND_ORT
false,1.7572,0,LAND_ORT
false,1.7572,0.357,LAND_ORT
false,0,0,NO_LO
true,0,0.214,LAND_ORT
false,2.9474,0,NO_LO
false,0,0,NO_LO
false,3.201,0,LAND_ORT
false,1.109,0,NO_LO
true,0,0,LAND_ORT
false,2.6773,0,NO_LO
false,1.7572,0,NO_LO
false,1.1901,0,NO_LO
false,0,0.286,LAND_ORT
false,1.1901,0,NO_LO
false,1.757,0,LAND_ORT
true,1.7572,0.143,LAND_ORT
false,1.3721,0,NO_LO
false,0,0,LAND_ORT
true,0,0.143,LAND_ORT
false,1.1901,0,NO_LO
true,1.267,0.143,LAND_ORT
false,1.7572,0,NO_LO
true,0,0,NO_LO
false,1.566,0,NO_LO
false,1.4687,0,NO_LO
false,0,0,NO_LO
false,0,0,NO_LO
true,1.7572,0,LAND_ORT
true,0,0.143,LAND_ORT
true,1.757,0.286,LAND_ORT
false,1.7572,0,NO_LO
false,1.0343,0,NO_LO
true,0,0.143,LAND_ORT
false,1.7572,0,NO_LO
true,1.7572,0.143,LAND_ORT
true,0,0,LAND_ORT
true,0,0,LAND_ORT
true,1.757,0.643,LAND_ORT
false,1.1918,0,NO_LO
true,0,0,LAND_ORT
true,0,0.143,LAND_ORT
false,0,0,NO_LO
false,0,0,NO_LO
true,1.7572,0.214,LAND_ORT
false,0,0,LAND_ORT
false,0,0,NO_LO
true,0,0.143,LAND_ORT
true,0,0.143,LAND_ORT
true,2.4839,0,NO_LO
false,0,0,LAND_ORT
false,1.7572,0,LAND_ORT
true,1.7572,0.143,LAND_ORT
false,1.109,0,NO_LO
false,0,0,NO_LO
false,1.109,0,NO_LO
false,1.1901,0,NO_LO
false,1.109,0,NO_LO
true,1.757,0.143,LAND_ORT
false,0,0,NO_LO
false,2.6025,0,NO_LO
false,1.3721,0,NO_LO
false,1.3882,0,LAND_ORT
false,1.1901,0,NO_LO
false,1.1901,0,NO_LO
false,1.7572,0,NO_LO
false,1.7572,0,NO_LO
false,1.7572,1.714,LAND_ORT
false,1.0392,0.143,LAND_ORT
false,1.1918,0,NO_LO
false,1.7572,0,NO_LO
true,1.7572,0.143,LAND_ORT
true,1.757,0.143,LAND_ORT
false,0,0,LAND_ORT
false,1.757,0,LAND_ORT
false,2.7916,0,NO_LO
false,0,0.143,NO_LO
false,0,0,NO_LO
false,1.417,0,NO_LO
false,1.1901,0,NO_LO
true,0,0,LAND_ORT
false,0,0.357,LAND_ORT
true,0,0.214,LAND_ORT
false,0,0,NO_LO
true,0,0,LAND_ORT
true,1.7572,0,LAND_ORT
false,1.7572,1.714,LAND_ORT
false,3.2547,0,NO_LO
false,0,0,LAND_ORT
false,0,0,LAND_ORT
